"value","footprint","count","references"
"ABM10XTAL-16","ABM10",1,"U5 "
"ANTENNA","chip_ant",1,"U12 "
"RS232-CON","DB9",1,"U1 "
"DCP01DB","DIP-14-7",1,"U46 "
"FCI_USB_B","FCI_USB_B",1,"U6 "
"GT12MABE","GT12MABE",2,"U34 U5 "
"BF532-160","MBGA-160",1,"U6 "
"BF527","MBGA-208",1,"U13 "
"AD5663","MSOP-10",1,"U28 "
"OMNETICS_36","omnetics_36_dual",4,"U14 U21 U28 U35 "
"9X100","omnetics_9",9,"U18 U20 U25 U27 U32 U34 U39 U41 U3 "
"9X100","omnetics_9",1,"U43 "
"TPS62410","QFN-10",2,"U4 | U4"
"NRF24L01","QFN-20",1,"U8 "
"LAN8710A","QFN-32",1,"U17 "
"RHA2132","QFN-56",4,"U42 U43 U44 U45 "
"SOT-23","S-MINI-3P",15,"U51 U53 U55 U57 U61 U63 U59 U65 U67 U69 U71 U73 U75 U77 U49 "
"MAX6711Z","SC-70-4",1,"U20 "
"MAX6711Z","SC-70-4",1,"U11 ** one needs to be a T**"
"TC1016-3.0","SC-70-5",4,"U16 U23 U30 U37 "
"TC1016-3.0","SC-70-5",1,"U45 "
"MIC5365-2.7","SC-70-5",4,"U15 U22 U29 U36 "
"MIC5365-2.5","SC-70-5",1,"U27 "
"MIC5365","SC-70-5",1,"U14 "
"MCP4017","SC-70-6",1,"U32 "
"6533-CONN","SCSI68",1,"U33 "
"SFE-MAGJACK","SFE-MAGJACK",1,"U19 "
"AUDIO_JACK","SJ1-3533",1,"U30 "
"LT1721","SOIC-16",1,"U44 "
"IL715-3","SOIC-16",9,"U35 U36 U38 U37 U41 U42 U40 U39 U47 "
"SST25VF040B","SOIC-8",2,"U15 | U9"
"LM4808","SOIC-8",1,"U29 "
"D","SOT-23",2,"D18 D19 "
"BAT54","SOT-23",15,"D22 D24 D26 D28 D32 D34 D30 D36 D38 D40 D42 D44 D46 D48 D20 "
"LT1615","SOT-23-5",15,"U50 U52 U54 U56 U60 U62 U58 U64 U66 U68 U70 U72 U74 U76 U48 "
"USBLC6","SOT-23-6",1,"U11 "
"ADCS7476","SOT-23-6",4,"U19 U26 U33 U40 "
"D","SOT-323",15,"D23 D25 D27 D29 D33 D35 D31 D37 D39 D41 D43 D45 D47 D49 D21 "
"ADM3202","TSSOP-16",1,"U3 "
"74LCX541","TSSOP-20",3,"U18 U23 U22 "
"74LCX541","TSSOP-20",2,"U10 U2 "
"MT48LC16M16A2","VFBGA-54",1,"U7 "
