"value","footprint","count",,"supplier","digikey","on hand? ","references",
33,402,10,30,,"RHM33JCT-ND",,"R67 R74 R81 R88 R4 R5 R2 R20 R47 R274 ",
"100k",402,6,18,,"RHM100KJCT-ND",,"R56 R48 R49 R50 R51 R57 ",
"170k",402,0,0,,"P174KLCT-ND",,"R66 R73 R80 R87 ",
"1k",402,0,0,,"RHM1.0KJCT-ND",,"R52 R53 R54 R55 ",
"2.7k",402,0,0,,"RHM2.7KJCT-ND",,"R64 R71 R78 R85 ",
"270pf",402,0,0,,"PCC1714CT-ND",,"C190 C199 C208 C217 ",
"33k",402,0,0,,"RHM33KJCT-ND",,"R63 R70 R77 R84 ",
"ferrite",402,4,12,,"445-2154-1-ND",,"L8 L9 L10 L7 ",
"0.001uf",402,3,9,,"399-1031-1-ND",,"C53 C49 C47 ",
"50k",402,3,9,,"RHM49.9KLCT-ND",,"R19 R16 R46 ",
"1.5k",402,2,6,,"RHM1.5KJCT-ND",,"R43 R42 ",
"3.3k",402,2,6,,"RHM3.3KJCT-ND",,"R44 R45 ",
"4.7pF",402,2,6,,"445-4879-1-ND",,"C56 C41",
"8pf",402,2,6,,"445-4890-1-ND",,"C19 C23 ",
"1.5pF",402,1,3,,"490-3087-1-ND",,"C57 ",
"135k",402,1,3,,"P133KLCT-ND",,"R11 ",
"15k",402,1,3,,"RHM15KJCT-ND",,"R10 ",
"1pF",402,1,3,,"478-3832-1-ND",,"C60 ",
"2.2nF",402,1,3,,"490-1305-1-ND",,"C61 ",
"2.7nH",402,1,3,,"PCD1851CT-ND",,"L6 ",
"220k",402,1,3,,"RHM220KLCT-ND",,"R12 ",
"22K",402,1,3,,"RHM22KJCT-ND",,"R23 ",
"270k",402,1,3,,"RHM270KJCT-ND",,"R15 ",
"3.9nH",402,1,3,,"PCD1853CT-ND",,"L5 ",
"33nF",402,1,3,,"490-3253-1-ND",,"C50 ",
"33pf",402,1,3,,"490-3220-1-ND",,"C28 ",
"5k",402,1,3,,"RHM5.1KJCT-ND",,"R3 ",
"7pf",402,1,3,,"490-3107-1-ND",,"C39 ",
"8.2nH",402,1,3,,"PCD1857CT-ND",,"L4 ",
"825k",402,1,3,,"P825KLCT-ND",,"R13 ",
"90k",402,1,3,,"RHM90.9KLCT-ND",,"R14 ",
"1uf",603,48,144,,"587-1437-1-ND",,"C224 C233 C236 C249 C252 C228 C239 C241 C258 C267 C270 C283 C286 C262 C273 C275 C292 C301 C304 C317 C320 C296 C307 C309 C326 C335 C338 C351 C354 C330 C341 C343 C220 C227 C250 C246 C254 C261 C284 C280 C288 C295 C318 C314 C322 C329 C352 C348 ",
"5k",603,44,132,,"P4.99KHCT-ND",,"R109 R131 R106 R107 R91 R111 R113 R114 R126 R115 R105 R155 R177 R152 R153 R137 R157 R159 R160 R172 R161 R151 R201 R223 R198 R199 R183 R203 R205 R206 R218 R207 R197 R247 R269 R244 R245 R229 R249 R251 R252 R264 R253 R243 ",
"47k",603,40,120,,"P47KGCT-ND",,"R89 R95 R127 R122 R118 R101 R104 R98 R97 R112 R135 R141 R173 R168 R164 R147 R150 R144 R143 R158 R181 R187 R219 R214 R210 R193 R196 R190 R189 R204 R227 R233 R265 R260 R256 R239 R242 R236 R235 R250 ",
"1k",603,32,96,,"P1.0KGCT-ND",,"R96 R93 R121 R124 R90 R94 R123 R128 R142 R139 R167 R170 R136 R140 R169 R174 R188 R185 R213 R216 R182 R186 R215 R220 R234 R231 R259 R262 R228 R232 R261 R266 ",
"33pf",603,28,84,,"445-1275-1-ND",,"C248 C229 C222 C223 C225 C221 C235 C282 C263 C256 C257 C259 C255 C269 C316 C297 C290 C291 C293 C289 C303 C350 C331 C324 C325 C327 C323 C337 ",
"10uf",603,17,51,,"490-3896-1-ND",,"C189 C198 C207 C216 C97 C85 C102 C84 C30 C31 C15 C32 C45 C4 C12 C26 C29 ",
"100pf",603,16,48,,"PCC101ACVCT-ND",,"C226 C240 C230 C234 C260 C274 C264 C268 C294 C308 C298 C302 C328 C342 C332 C336 ",
"2M",603,16,48,,"P2.0MGCT-ND",,"R92 R99 R125 R120 R138 R145 R171 R166 R184 R191 R217 R212 R230 R237 R263 R258 ",
"LED",603,16,48,,"754-1357-1-ND",,"D4 D6 D8 D10 D12 D14 D16 D18 D5 D7 D9 D11 D13 D15 D17 D19 ",
100,603,13,39,,"RHM100GCT-ND",,"R100 R133 R119 R146 R179 R165 R192 R225 R211 R238 R271 R257 R58 ",
"1M",603,12,36,,"RHM1.0MGCT-ND",,"R130 R108 R110 R176 R154 R156 R222 R200 R202 R268 R246 R248 ",
"100k",603,8,24,,"RHM100KHCT-ND",,"R103 R116 R149 R162 R195 R208 R241 R254 ",
"40k",603,8,24,,"RHM40.2KHCT-ND",,"R129 R134 R175 R180 R221 R226 R267 R272 ",
"75k",603,8,24,,"RHM75.0KHCT-ND",,"R102 R117 R148 R163 R194 R209 R240 R255 ",
"10k",603,6,18,,"RHM10KGCT-ND",,"R132 R178 R224 R270 R60 R59 ",
"0.1uf",603,5,15,,"445-1324-1-ND",,"C118 C114 C116 C117 C119 ",
"500pf",603,4,12,,"490-1444-1-ND",,"C251 C285 C319 C353 ",
"22uf",805,10,30,,"445-1422-1-ND",,"C186 C188 C195 C197 C204 C206 C213 C215 C90 C89 ",
"2.2uf",1206,33,99,,"445-4585-1-ND",,"C237 C242 C243 C238 C244 C245 C247 C253 C271 C276 C277 C272 C278 C279 C281 C287 C305 C310 C311 C306 C312 C313 C315 C321 C339 C344 C345 C340 C346 C347 C349 C355 C112 ",
"1uf",1210,8,24,,"490-1856-1-ND",,"C231 C232 C265 C266 C299 C300 C333 C334 ","U195 U212 U229 U246 "
"2.2uh",1210,2,6,,"587-2165-1-ND",,"L2 L3 ","U4 U69 "
"3.3uh",1210,1,3,,"445-3651-1-ND",,"L1 ",
"8X100",1725711,1,3,,"277-1279-ND",,"U76 ",
"0.1uf","0201a",64,192,,"445-4711-1-ND",,"C120 C121 C122 C123 C124 C125 C126 C127 C128 C129 C130 C131 C132 C133 C134 C135 C136 C137 C138 C139 C140 C141 C142 C143 C144 C145 C146 C147 C148 C149 C150 C151 C152 C153 C154 C155 C156 C157 C158 C159 C160 C161 C162 C163 C164 C165 C166 C167 C168 C169 C170 C171 C172 C173 C174 C175 C176 C177 C178 C179 C180 C181 C182 C183 ",
"10X2X100","10x2x100mil",2,6,,"A26580-ND",,"U74 U77 ",
"10X100","11x100mil",1,3,,"WM2709-ND",,"U64 ",
"dual pins","2x100mil",10,30,,"WM4000-ND",,,
"jumpers","2x100mil",10,30,,"929955-06-ND",,,
"LED","2x100mil",9,27,,"754-1248-ND",,"D37 D38 D45 D46 D53 D54 D61 D62 D22",
