"value","footprint","count","stock","Digi-key pn",,"references"
"8.2nH",402,1,"y",,,"L3"
"33nF",402,1,"y",,,"C25"
"3.9nH",402,1,"y",,,"L4"
"270k",402,1,"y",,,"R16"
"2.7nH",402,1,"y",,,"L5"
"2.2nF",402,1,"y",,,"C32"
"1pF",402,1,"y",,,"C31"
"180k",402,1,"y",,,"R3"
"12.1k",402,1,"y",,,"R31"
"1.5pF",402,1,"y",,,"C29"
"LED",603,25,"y",,,"D17 D2 D4 D6 D8 D10 D12 D14 D16 D15 D13 D11 D9 D7 D5 D3 D1 | D8 D7 D6 D5 D1 D2 D3 D4"
"10uf",603,16,"y",,,"C65 C94 C100 C19 C20 C4 C43 C29 C45 C44 | C12 C13 C6 C10 C15 C1"
"MAX6711Z","SC-70-4",1,"y",,,"U20"
"MAX6711T","SC-70-4",1,"y",,,"U11 ** one needs to be a T**"
"MIC5365-2.7","SC-70-5",4,"y",,,"U15 U22 U29 U36"
"MIC5365-2.5","SC-70-5",2,"y",,,"U27 | U14"
"ADCS7476","SOT-23-6",4,"y",,,"U19 U26 U33 U40"
"USBLC6","SOT-23-6",1,"y",,,"U11"
"0.001uf",402,3,"y,1nf",,,"C26 C24 C23"
130,402,34,,"P130JCT-ND",,"R58 R60 R62 R64 R66 R68 R70 R72 R71 R69 R67 R65 R63 R61 R59 R57 R36 R37 R40 R42 R43 R44 R45 R46 R47 R48 R49 R104 R107 R105 R108 R106 R109 R103"
"1k",402,15,,"P1.0KJCT-ND",,"R89 R90 R91 R92 R94 R95 R93 R96 R97 R98 R99 R100 R101 R102 R88"
"10k",402,10,,"P10KJCT-ND",,"R41 R26 R27 R28 R15 R17 | R30 R18 R24 R25"
"7k",402,4,,"P6.98KLCT-ND",,"R39 R51 R63 R75"
"15k",402,4,,"P15KJCT-ND",,"R37 R49 R61 R73"
"94k",402,3,,"P93.1KLCT-ND",,"R87 R5 R6"
"15pf",402,3,,"490-1281-1-ND",,"C54 C53 C52"
"700k",402,1,,"P698KLCT-ND",,"R14"
"200k",402,1,,"P200KJCT-ND",,"R13"
"115k",402,1,,"P115KLCT-ND",,"R15"
"22uh",603,15,,"445-3609-1-ND",,"L6 L7 L8 L9 L11 L12 L10 L13 L14 L15 L16 L17 L18 L19 L5"
"BATTERY","18650-holder",1,,"BK-18650-PC2-ND",,"BT1"
"2SK1374G","S-MINI-3P",15,,"2SK1374G0LCT-ND",,"U51 U53 U55 U57 U61 U63 U59 U65 U67 U69 U71 U73 U75 U77 U49"
"MCP4017","SC-70-6",1,,"MCP4017T-503E/LTCT-ND",,"U32"
"LT1721","SOIC-16",1,,"LT1721CGN#PBF-ND",,"U44"
"BAT54","SOT-23",17,,"568-1596-1-ND",,"D22 D24 D26 D28 D32 D34 D30 D36 D38 D40 D42 D44 D46 D48 D20"
"LT1615","SOT-23-5",15,,"LT1615ES5-1#TRMPBFCT-ND",,"U50 U52 U54 U56 U60 U62 U58 U64 U66 U68 U70 U72 U74 U76 U48"
"D","SOT-323",15,,"MMBZ5257BW-FDICT-ND",,"D23 D25 D27 D29 D33 D35 D31 D37 D39 D41 D43 D45 D47 D49 D21"
